ID,Tank Failure Pressure (bar),Liquid Ratio (%),Tank Width (m),Tank Length (m),Tank Height (m),Tank Volume ,BLEVE Height (m),Vapour Height (m),Vapour Temperature (K),Liquid Temperature (K),Obstacle Distance to BLEVE (m),Obstacle Width (m),Obstacle Height (m),Obstacle Thickness (m),Obstacle Angle,"Status flag (subcooled=1, superheated=0)",Liquid Critical Pressure (bar),Liquid Boiling Temperature (K),Liquid Critical Temperature (K),Liquid Type,Sensor ID,Sensor Position Side,Sensor Position x,Sensor Position y,Sensor Position z,Duplicate Flag,missing values,Target Pressure (bar)
8893,42.18,0.43,1.8,9.8,1.4,24.696,0.41,0.82,418.83,297.97,10,4,6,2.82,19,1,42.5,-42,96.7,0,11,2,10.85,1.6,2.2,0,0,1.9656849
8899,42.16,0.43,1.8,9.78,1.42,24.99768,0.39,0.82,419.09,298.1,10,4,6,2.81,19,1,42.5,-42,96.7,0,17,2,10.85,5.2,2.2,0,0,1.4284847
8903,42.12,0.43,1.82,9.79,1.38,24.588564,0.39,0.78,419.7,298,10,4,6,2.82,19,1,42.5,-42,96.7,0,21,3,12.3,1.35,5,0,0,0.87783492
8884,42.09,0.42,1.81,9.78,1.4,24.78252,0.4,0.82,418.69,298.55,10,4,6,2.79,19,1,42.5,-42,96.7,0,2,1,13.75,1.6,2.2,0,0,0.21643898
7973,42.08,0.26,2.38,8.38,0.8,15.95552,0.4,0.59,402.68,284.95,10,13,6,1.41,16,1,42.5,-42,96.7,0,9,1,12.65,9.1,5.1,0,0,0.17460737
8902,42.06,0.43,1.81,9.82,1.42,25.239364,0.38,0.8,419.23,297.1,10,4,6,2.79,19,1,42.5,-42,96.7,0,20,3,12.3,1.35,2.2,0,0,0.92538369
8887,42.05,0.43,1.78,9.81,1.4,24.44652,0.41,0.8,419.09,297.67,10,4,6,2.8,19,1,42.5,-42,96.7,0,5,1,13.75,3.4,2.2,0,0,0.23961957
8904,42.05,0.43,1.82,9.81,1.4,24.99588,0.41,0.8,419.83,298.84,10,4,6,2.79,19,1,42.5,-42,96.7,0,22,4,12.3,1.6,5.3,0,0,0.54877335
6549,42.04,0.75,2.02,1.81,1.98,7.239276,2.01,0.38,429.84,297.3,10,8,7,0.81,27,1,42.5,-42,96.7,0,16,2,10.95,8.8,-2,0,0,0.34911624
8883,42.04,0.43,1.78,9.8,1.4,24.4216,0.4,0.79,419.39,297.61,10,4,6,2.8,19,1,42.5,-42,96.7,0,1,1,13.75,1.6,-0.6,0,0,0.20943555
8901,42.04,0.43,1.79,9.81,1.41,24.759459,0.41,0.81,418.51,297.82,10,4,6,2.81,19,1,42.5,-42,96.7,0,19,3,12.3,1.35,-0.6,0,0,0.91788393
8885,42.03,0.43,1.82,9.8,1.39,24.79204,0.42,0.79,417.93,298.23,10,4,6,2.8,19,1,42.5,-42,96.7,0,3,1,13.75,1.6,5,0,0,0.25314438
8905,42.03,0.43,1.82,9.81,1.39,24.817338,0.4,0.81,419.7,298.27,10,4,6,2.81,19,1,42.5,-42,96.7,0,23,4,12.3,3.4,5.3,0,0,0.45115897
7976,42.02,0.26,2.41,8.39,0.81,16.378119,0.4,0.59,403.06,285.16,10,13,6,1.38,16,1,42.5,-42,96.7,0,12,2,11.15,-3.5,5.1,0,0,1.2401862
8886,42.02,0.43,1.8,9.81,1.41,24.89778,0.39,0.8,419.44,298.12,10,4,6,2.78,19,1,42.5,-42,96.7,0,4,1,13.75,3.4,-0.6,0,0,0.22575511
8894,42.02,0.43,1.79,9.8,1.4,24.5588,0.39,0.81,419.69,297.62,10,4,6,2.82,19,1,42.5,-42,96.7,0,12,2,10.85,1.6,5,0,0,1.8381979
6546,42.01,0.76,1.99,1.79,1.99,7.088579,1.99,0.42,430.03,296.65,10,8,7,0.81,27,1,42.5,-42,96.7,0,13,2,10.95,5,-2,0,0,0.4010973
6555,42.01,0.76,1.99,1.78,2,7.0844,2,0.41,429.68,297.49,10,8,7,0.8,27,1,42.5,-42,96.7,0,22,4,11.4,1.2,4.9,0,0,0.09826529
6558,42.01,0.76,2.01,1.8,2.01,7.27218,2.01,0.4,431.05,296.97,10,8,7,0.81,27,1,42.5,-42,96.7,0,25,5,11.4,9.05,-2,0,0,0.12199881
8895,42.01,0.43,1.8,9.8,1.39,24.5196,0.39,0.8,419.99,298.1,10,4,6,2.81,19,1,42.5,-42,96.7,0,13,2,10.85,3.4,-0.6,0,0,1.8865875
8888,42,0.43,1.82,9.81,1.39,24.817338,0.4,0.8,419.33,298.41,10,4,6,2.8,19,1,42.5,-42,96.7,0,6,1,13.75,3.4,5,0,0,0.24922334
8891,42,0.43,1.8,9.82,1.39,24.56964,0.39,0.82,419.75,297.96,10,4,6,2.81,19,1,42.5,-42,96.7,0,9,1,13.75,5.2,5,0,0,0.23575556
8908,42,0.43,1.79,9.81,1.41,24.759459,0.39,0.79,419.47,297.44,10,4,6,2.81,19,1,42.5,-42,96.7,0,26,5,12.3,5.45,2.2,0,0,0.40387267
8890,41.99,0.43,1.8,9.8,1.39,24.5196,0.42,0.79,418.79,297.86,10,4,6,2.8,19,1,42.5,-42,96.7,0,8,1,13.75,5.2,2.2,0,0,0.18184097
8897,41.99,0.43,1.82,9.81,1.4,24.99588,0.4,0.79,417.84,297.87,10,4,6,2.81,19,1,42.5,-42,96.7,0,15,2,10.85,3.4,5,0,0,1.786312
8898,41.99,0.43,1.8,9.8,1.38,24.3432,0.42,0.81,417.53,297.33,10,4,6,2.79,19,1,42.5,-42,96.7,0,16,2,10.85,5.2,-0.6,0,0,1.4233619
8906,41.98,0.43,1.8,9.8,1.38,24.3432,0.4,0.81,417.48,297.5,10,4,6,2.78,19,1,42.5,-42,96.7,0,24,4,12.3,5.2,5.3,0,0,0.46423516
6534,41.97,0.76,2,1.8,1.98,7.128,2,0.41,430.37,296.89,10,8,7,0.78,27,1,42.5,-42,96.7,0,1,1,11.85,1.2,-2,0,0,0.078843534
6537,41.97,0.76,2.01,1.81,2,7.2762,1.98,0.41,430.06,297.79,10,8,7,0.82,27,1,42.5,-42,96.7,0,4,1,11.85,5,-2,0,0,0.041789014
6556,41.97,0.76,2.02,1.79,2.01,7.267758,1.99,0.39,430.63,297.5,10,8,7,0.8,27,1,42.5,-42,96.7,0,23,4,11.4,5,4.9,0,0,0.093397684
8889,41.97,0.43,1.8,9.81,1.42,25.07436,0.39,0.79,419.13,298.6,10,4,6,2.78,19,1,42.5,-42,96.7,0,7,1,13.75,5.2,-0.6,0,0,0.17989162
8896,41.97,0.43,1.8,9.81,1.41,24.89778,0.4,0.81,419.06,297.83,10,4,6,2.8,19,1,42.5,-42,96.7,0,14,2,10.85,3.4,2.2,0,0,1.8644729
7991,41.96,0.26,2.38,8.4,0.81,16.19352,0.4,0.61,402.37,285.08,10,13,6,1.4,16,1,42.5,-42,96.7,0,27,5,11.9,9.35,5.1,0,0,0.28464636
6539,41.94,0.76,1.98,1.8,2.01,7.16364,1.99,0.41,430.78,297.03,10,8,7,0.82,27,1,42.5,-42,96.7,0,6,1,11.85,5,4.6,0,0,0.035531994
8907,41.94,0.43,1.81,9.81,1.39,24.680979,0.4,0.8,419,297.71,10,4,6,2.79,19,1,42.5,-42,96.7,0,25,5,12.3,5.45,-0.6,0,0,0.39719641
6557,41.93,0.76,2,1.79,2.02,7.2316,2,0.38,430.07,297.22,10,8,7,0.81,27,1,42.5,-42,96.7,0,24,4,11.4,8.8,4.9,0,0,0.088016316
7969,41.93,0.26,2.39,8.39,0.79,15.841159,0.41,0.59,403.33,284.7,10,13,6,1.4,16,1,42.5,-42,96.7,0,5,1,12.65,2.8,2.3,0,0,0.15138662
6552,41.92,0.76,1.99,1.8,2.02,7.23564,2.01,0.39,430.34,297.31,10,8,7,0.8,27,1,42.5,-42,96.7,0,19,3,11.4,0.95,-2,0,0,0.21747927
8900,41.92,0.43,1.8,9.79,1.39,24.49458,0.39,0.81,420.07,298.69,10,4,6,2.8,19,1,42.5,-42,96.7,0,18,2,10.85,5.2,5,0,0,1.414062
6544,41.91,0.76,1.99,1.79,2.01,7.159821,2,0.4,431.07,297.59,10,8,7,0.8,27,1,42.5,-42,96.7,0,11,2,10.95,1.2,1.3,0,0,0.19332248
6547,41.91,0.76,2,1.79,2,7.16,2,0.39,430.13,297.61,10,8,7,0.81,27,1,42.5,-42,96.7,0,14,2,10.95,5,1.3,0,0,0.26401165
6559,41.91,0.76,2.02,1.82,2.02,7.426328,1.98,0.42,431.31,297.2,10,8,7,0.81,27,1,42.5,-42,96.7,0,26,5,11.4,9.05,1.3,0,0,0.11528329
7970,41.91,0.26,2.41,8.38,0.81,16.358598,0.4,0.62,402.57,284.31,10,13,6,1.4,16,1,42.5,-42,96.7,0,6,1,12.65,2.8,5.1,0,0,0.12498129
8909,41.91,0.43,1.79,9.8,1.38,24.20796,0.41,0.79,419.35,298.28,10,4,6,2.81,19,1,42.5,-42,96.7,0,27,5,12.3,5.45,5,0,0,0.4214564
7968,41.9,0.26,2.39,8.41,0.81,16.280919,0.41,0.58,402.42,284.73,10,13,6,1.41,16,1,42.5,-42,96.7,0,4,1,12.65,2.8,-0.5,0,0,0.22385803
7984,41.9,0.26,2.42,8.41,0.82,16.688804,0.4,0.61,402.46,284.86,10,13,6,1.42,16,1,42.5,-42,96.7,0,20,3,11.9,-3.75,2.3,0,0,0.64817154
7972,41.89,0.26,2.38,8.38,0.81,16.154964,0.41,0.61,404.05,284.66,10,13,6,1.41,16,1,42.5,-42,96.7,0,8,1,12.65,9.1,2.3,0,0,0.071026698
7990,41.89,0.26,2.4,8.4,0.79,15.9264,0.41,0.59,401.42,284.94,10,13,6,1.39,16,1,42.5,-42,96.7,0,26,5,11.9,9.35,2.3,0,0,0.22518043
7971,41.88,0.26,2.38,8.39,0.81,16.174242,0.42,0.6,402.39,284.86,10,13,6,1.41,16,1,42.5,-42,96.7,0,7,1,12.65,9.1,-0.5,0,0,0.071828224
6540,41.87,0.76,2.01,1.81,2.02,7.348962,2,0.39,430.85,297.13,10,8,7,0.82,27,1,42.5,-42,96.7,0,7,1,11.85,8.8,-2,0,0,0.048259452
6542,41.87,0.76,1.99,1.81,2,7.2038,1.99,0.41,430.42,297.28,10,8,7,0.82,27,1,42.5,-42,96.7,0,9,1,11.85,8.8,4.6,0,0,0.052434906
7985,41.87,0.26,2.41,8.41,0.82,16.619842,0.4,0.62,401.93,284.52,10,13,6,1.39,16,1,42.5,-42,96.7,0,21,3,11.9,-3.75,5.1,0,0,0.65441799
6560,41.85,0.76,2,1.79,2,7.16,1.99,0.4,428.69,297.02,10,8,7,0.8,27,1,42.5,-42,96.7,0,27,5,11.4,9.05,4.6,0,0,0.080896921
7975,41.85,0.26,2.38,8.4,0.82,16.39344,0.42,0.62,403.22,285.29,10,13,6,1.38,16,1,42.5,-42,96.7,0,11,2,11.15,-3.5,2.3,0,0,1.2036951
7986,41.85,0.26,2.38,8.39,0.81,16.174242,0.39,0.59,401.83,285.28,10,13,6,1.38,16,1,42.5,-42,96.7,0,22,4,11.9,-3.5,5.4,0,0,0.53015536
6548,41.84,0.76,2.01,1.79,2.02,7.267758,2.01,0.41,430.14,297.04,10,8,7,0.78,27,1,42.5,-42,96.7,0,15,2,10.95,5,4.6,0,0,0.19698076
7981,41.84,0.26,2.42,8.41,0.79,16.078238,0.41,0.58,402.3,285.35,10,13,6,1.4,16,1,42.5,-42,96.7,0,17,2,11.15,9.1,2.3,0,0,0.70263743
6543,41.82,0.76,2.01,1.78,1.99,7.119822,1.99,0.4,429.81,297.05,10,8,7,0.8,27,1,42.5,-42,96.7,0,10,2,10.95,1.2,-2,0,0,0.36827949
6554,41.82,0.76,2,1.81,2.01,7.2762,2,0.39,429.77,297.08,10,8,7,0.79,27,1,42.5,-42,96.7,0,21,3,11.4,0.95,4.6,0,0,0.11281278
7967,41.82,0.26,2.41,8.42,0.8,16.23376,0.42,0.6,401.45,285.05,10,13,6,1.42,16,1,42.5,-42,96.7,0,3,1,12.65,-3.5,5.1,0,0,0.31176347
7974,41.82,0.26,2.42,8.4,0.82,16.66896,0.42,0.58,402.61,284.4,10,13,6,1.39,16,1,42.5,-42,96.7,0,10,2,11.15,-3.5,-0.5,0,0,1.1844301
8892,41.82,0.43,1.79,9.79,1.4,24.53374,0.39,0.78,418.96,297.55,10,4,6,2.82,19,1,42.5,-42,96.7,0,10,2,10.85,1.6,-0.6,0,0,2.0091414
6553,41.81,0.76,2,1.81,1.98,7.1676,1.98,0.38,430.38,297.9,10,8,7,0.82,27,1,42.5,-42,96.7,0,20,3,11.4,0.95,1.3,0,0,0.12778589
7980,41.81,0.26,2.41,8.39,0.79,15.973721,0.41,0.6,404.56,284.55,10,13,6,1.42,16,1,42.5,-42,96.7,0,16,2,11.15,9.1,-0.5,0,0,0.67160577
